Step,Coverage
1,5.0
2,7.5
3,10.0
4,12.5
5,15.0
6,17.5
7,20.0
8,22.25
9,24.25
10,26.0
11,27.750000000000004
12,29.75
13,31.75
14,33.75
15,35.5
16,37.25
17,39.5
18,41.25
19,42.25
20,43.25
21,44.25
22,45.0
23,46.0
24,47.25
25,48.25
26,49.25
27,50.24999999999999
28,51.0
29,51.74999999999999
30,52.5
31,53.5
32,54.75
33,56.00000000000001
34,56.99999999999999
35,57.49999999999999
36,58.75
37,59.75
38,60.75000000000001
39,61.75000000000001
40,63.0
41,64.25
42,65.5
43,66.5
44,67.75
45,69.0
46,70.0
47,71.0
48,72.25
49,73.5
50,74.75
