Step,Coverage
1,5.0
2,7.5
3,10.0
4,12.5
5,15.0
6,17.5
7,20.0
8,22.0
9,24.25
10,26.5
11,28.499999999999996
12,30.25
13,32.25
14,34.25
15,36.25
16,38.25
17,40.25
18,42.0
19,43.5
20,44.5
21,45.5
22,46.5
23,47.5
24,48.5
25,49.5
26,50.5
27,51.5
28,52.5
29,53.5
30,54.50000000000001
31,55.50000000000001
32,56.49999999999999
33,57.49999999999999
34,58.5
35,59.5
36,60.5
37,61.5
38,62.5
39,63.5
40,64.5
41,65.75
42,67.0
43,68.25
44,69.5
45,70.5
46,71.25
47,72.0
48,72.75
49,73.5
50,74.25
