Step,Coverage
1,4.5
2,6.25
3,8.5
4,9.5
5,10.5
6,11.25
7,12.25
8,13.750000000000002
9,15.0
10,16.0
11,17.5
12,18.75
13,20.0
14,21.0
15,21.75
16,22.0
17,22.75
18,23.75
19,24.75
20,26.25
21,26.25
22,27.0
23,27.500000000000004
24,28.000000000000004
25,28.499999999999996
26,28.999999999999996
27,30.0
28,31.0
29,31.75
30,32.25
31,32.75
32,33.25
33,34.25
34,35.0
35,35.75
36,36.75
37,37.5
38,38.25
39,39.0
40,39.75
41,40.25
42,40.75
43,40.75
44,41.25
45,42.0
46,42.5
47,42.75
48,43.0
49,44.0
50,44.25
