Step,Average Coverage
1,4.95
2,7.4
3,9.8
4,12.25
5,14.7
6,17.2
7,19.65
8,22.15
9,24.55
10,26.75
11,29.05
12,31.3
13,33.55
14,35.75
15,37.9
16,40.1
17,42.3
18,44.55
19,46.75
20,48.7
21,49.6
22,50.6
23,51.55
24,52.6
25,53.6
26,54.65
27,55.7
28,56.75
29,57.7
30,58.7
31,59.8
32,60.8
33,61.75
34,62.7
35,63.55
36,64.5
37,65.5
38,66.4
39,67.45
40,68.45
41,69.25
42,70.05
43,70.95
44,71.65
45,72.25
46,72.85
47,73.7
48,74.55
49,75.55
50,76.55
