Step,Coverage
1,5.0
2,7.5
3,10.0
4,12.5
5,15.0
6,17.5
7,20.0
8,22.25
9,24.75
10,27.0
11,29.5
12,32.0
13,34.5
14,37.0
15,39.5
16,42.0
17,44.25
18,46.5
19,49.0
20,51.24999999999999
21,53.0
22,55.00000000000001
23,56.49999999999999
24,57.75
25,59.25
26,60.75000000000001
27,62.74999999999999
28,65.0
29,67.25
30,69.25
31,70.75
32,72.25
33,73.5
34,75.0
35,76.25
36,77.5
37,78.75
38,79.75
39,81.25
40,82.5
41,83.25
42,84.25
43,85.25
44,85.75
45,86.75
46,87.5
47,88.25
48,89.0
49,89.0
50,89.25
