Step,Coverage
1,5.0
2,7.5
3,10.0
4,12.5
5,15.0
6,17.5
7,20.0
8,22.5
9,25.0
10,27.250000000000004
11,29.5
12,31.75
13,34.0
14,36.25
15,38.25
16,39.5
17,40.5
18,41.75
19,42.75
20,43.75
21,44.5
22,45.5
23,46.5
24,47.5
25,48.5
26,49.5
27,50.24999999999999
28,51.24999999999999
29,52.25
30,53.0
31,54.0
32,54.75
33,55.25
34,55.75
35,56.49999999999999
36,57.25
37,57.99999999999999
38,58.75
39,59.5
40,60.25
41,61.0
42,61.75000000000001
43,62.5
44,63.24999999999999
45,64.0
46,64.75
47,65.5
48,66.25
49,67.0
50,67.75
