Step,Coverage
1,5.0
2,7.5
3,10.0
4,12.5
5,15.0
6,17.5
7,20.0
8,22.5
9,24.75
10,27.250000000000004
11,29.75
12,32.0
13,34.5
14,37.0
15,39.5
16,42.0
17,44.25
18,46.75
19,49.0
20,51.24999999999999
21,52.5
22,53.75
23,55.00000000000001
24,56.25
25,57.25
26,57.99999999999999
27,58.75
28,59.5
29,60.5
30,61.5
31,62.25000000000001
32,62.74999999999999
33,63.5
34,64.25
35,64.75
36,65.5
37,65.75
38,66.25
39,67.0
40,68.0
41,68.75
42,69.5
43,70.5
44,71.5
45,72.5
46,73.5
47,74.25
48,75.25
49,76.25
50,77.0
