Step,Coverage
1,5.0
2,7.5
3,10.0
4,12.25
5,14.499999999999998
6,16.75
7,18.75
8,20.5
9,22.5
10,24.75
11,27.0
12,29.25
13,31.5
14,33.75
15,36.25
16,38.5
17,40.0
18,41.5
19,43.25
20,45.0
21,46.0
22,46.75
23,47.5
24,48.25
25,49.0
26,49.75
27,50.5
28,51.74999999999999
29,53.0
30,54.25
31,55.25
32,56.25
33,57.25
34,58.25
35,59.25
36,60.25
37,61.0
38,61.25000000000001
39,62.0
40,63.0
41,63.74999999999999
42,64.5
43,65.0
44,66.0
45,67.0
46,67.75
47,68.5
48,69.5
49,70.25
50,71.0
