Step,Average Coverage
1,4.95
2,7.4
3,9.8
4,12.25
5,14.7
6,17.2
7,19.65
8,22.15
9,24.55
10,26.75
11,29.05
12,31.3
13,33.55
14,35.75
15,37.9
16,40.1
17,42.3
18,44.55
19,46.75
20,48.7
21,50.55
22,52.3
23,54.05
24,55.95
25,57.7
26,59.45
27,61.3
28,63.05
29,64.9
30,66.75
31,68.4
32,70.15
33,71.8
34,73.4
35,74.8
36,76.3
37,77.85
38,79.4
39,80.55
40,81.85
41,83.15
42,84.15
43,85.2
44,85.9
45,86.85
46,88.0
47,89.0
48,89.75
49,90.55
50,91.3
