Step,Coverage
1,5.0
2,7.5
3,10.0
4,12.5
5,15.0
6,17.5
7,20.0
8,22.25
9,24.5
10,27.0
11,28.999999999999996
12,30.75
13,33.0
14,35.25
15,37.5
16,39.75
17,41.75
18,43.75
19,45.75
20,47.75
21,49.0
22,50.5
23,52.25
24,53.75
25,55.00000000000001
26,56.49999999999999
27,58.25
28,60.0
29,61.5
30,62.5
31,63.5
32,64.5
33,66.0
34,67.5
35,68.5
36,69.25
37,70.5
38,71.75
39,72.75
40,74.25
41,75.5
42,77.0
43,78.5
44,79.75
45,81.0
46,82.5
47,83.25
48,83.75
49,84.0
50,84.5
