Step,Average Coverage
1,4.85
2,7.25
3,9.6
4,11.95
5,14.3
6,16.7
7,18.8
8,20.8
9,22.85
10,24.9
11,26.7
12,28.4
13,30.05
14,31.45
15,32.8
16,34.1
17,35.3
18,36.5
19,37.55
20,38.6
21,39.65
22,40.7
23,41.7
24,42.7
25,43.7
26,44.7
27,45.7
28,46.7
29,47.7
30,48.65
31,49.65
32,50.6
33,51.55
34,52.5
35,53.45
36,54.4
37,55.3
38,56.2
39,57.15
40,58.1
41,59.1
42,59.95
43,60.8
44,61.65
45,62.5
46,63.4
47,64.3
48,65.2
49,66.1
50,67.0
