Step,Coverage
1,5.0
2,7.5
3,9.75
4,12.0
5,14.499999999999998
6,17.0
7,19.0
8,21.0
9,23.0
10,25.5
11,28.000000000000004
12,30.25
13,32.5
14,34.5
15,36.75
16,39.25
17,41.5
18,44.0
19,46.5
20,49.0
21,50.74999999999999
22,52.5
23,54.25
24,56.00000000000001
25,57.49999999999999
26,59.25
27,60.75000000000001
28,62.0
29,63.5
30,64.5
31,65.75
32,67.5
33,69.25
34,71.0
35,72.75
36,74.5
37,75.75
38,76.75
39,78.25
40,79.5
41,81.0
42,82.25
43,83.5
44,85.0
45,86.25
46,87.5
47,88.75
48,89.5
49,89.75
50,90.5
