Step,Average Coverage
1,4.95
2,7.4
3,9.85
4,12.35
5,14.8
6,17.25
7,19.65
8,22.1
9,24.4
10,26.6
11,28.85
12,31.0
13,33.2
14,35.3
15,37.3
16,39.25
17,41.25
18,43.1
19,45.0
20,46.75
21,48.2
22,49.8
23,51.5
24,53.4
25,55.15
26,56.75
27,58.3
28,59.75
29,61.05
30,62.3
31,63.45
32,64.75
33,66.15
34,67.4
35,68.6
36,69.8
37,70.9
38,71.95
39,72.9
40,73.75
41,74.7
42,75.55
43,76.35
44,77.15
45,78.0
46,78.75
47,79.45
48,80.05
49,80.6
50,81.05
