Step,Average Coverage
1,4.95
2,7.4
3,9.8
4,12.25
5,14.7
6,17.2
7,19.65
8,22.15
9,24.55
10,26.75
11,29.05
12,31.3
13,33.55
14,35.75
15,37.9
16,40.1
17,42.3
18,44.55
19,46.75
20,48.7
21,50.05
22,51.45
23,52.8
24,54.25
25,55.7
26,57.0
27,58.4
28,59.75
29,61.1
30,62.55
31,64.0
32,65.35
33,66.65
34,67.95
35,69.4
36,70.75
37,72.0
38,73.35
39,74.3
40,75.35
41,76.35
42,77.2
43,78.05
44,78.85
45,79.75
46,80.8
47,81.7
48,82.45
49,83.1
50,83.75
