Step,Coverage
1,5.0
2,6.75
3,8.25
4,9.0
5,10.0
6,11.0
7,11.75
8,13.0
9,14.249999999999998
10,15.75
11,17.25
12,18.0
13,19.25
14,20.75
15,22.0
16,23.5
17,24.75
18,25.5
19,26.5
20,27.0
21,27.750000000000004
22,28.249999999999996
23,28.999999999999996
24,29.75
25,30.25
26,31.5
27,32.5
28,33.25
29,34.5
30,36.0
31,36.75
32,37.5
33,38.25
34,38.75
35,39.5
36,40.5
37,42.0
38,43.25
39,44.0
40,44.25
41,44.75
42,46.0
43,47.25
44,48.0
45,49.0
46,50.0
47,51.24999999999999
48,52.0
49,52.75
50,53.75
