Step,Average Coverage
1,4.9
2,6.65
3,8.2
4,9.4
5,10.75
6,12.15
7,13.1
8,14.25
9,15.2
10,16.25
11,17.35
12,18.3
13,19.65
14,20.8
15,21.5
16,22.4
17,23.55
18,24.35
19,25.25
20,26.4
21,27.1
22,28.0
23,28.65
24,28.95
25,29.6
26,30.2
27,30.85
28,31.4
29,31.8
30,32.4
31,32.85
32,33.55
33,34.25
34,34.7
35,35.35
36,36.0
37,36.55
38,37.05
39,37.5
40,38.15
41,38.85
42,39.45
43,39.9
44,40.45
45,40.85
46,41.15
47,41.5
48,41.85
49,42.15
50,42.4
